Content,Scenario,Label,Urgency,Sentiment,Has_link,Interaction score,Author
"[CẢNH CÁO]: NGUYỄN THỊ ÁI NHI, đúng 1 tiếng nữa không thanh toán số tiền nợ 1,300,000đ thì toàn bộ hình ảnh vay nợ sẽ được gửi đến NƠI LÀM VIỆC, GIA ĐÌNH, BẠN BÈ, DANH BẠ - Công khai trên CÁC HỘI NHÓM, FB, ZALO, TIK.TOK. UY TÍN, DANH DỰ bị ảnh hưởng bọn này không chịu trách nhiệm. Link thanh toán: http://i.xil.asia/uXhCkv.",Đời thường ,1,5,-1,1,0,
"Tử tế với mày, mày đéo muốn đúng không NGUYỄN THỊ ÁI NHI? Cơ hội cuối cùng trong vòng 30p để mày tự giác thanh toán nợ: 1,300,000đ. Trước khi cái mặt mày cầm cccd đi vay và những thành viên trong gđ mày được công khai trên MẠNG XÃ HỘI. - Link thanh toán: http://i.xil.asia/uXhCkv.",Đời thường ,1,5,-1,1,0,
"NGUYỄN THỊ ÁI NHI, bây giờ mày đéo trả nợ đúng không? mày muốn bọn tao quậy nát cái danh bạ, gia đình, dòng họ của mày thì mới chịu trả đúng không? Đúng 15p nữa bọn tao không nhận được số tiền nợ 1,300,000đ thì mày tự hiểu chuyện gì xảy ra. - Link thanh toán: http://i.xil.asia/uXhCkv.",Đời thường ,1,4,-1,1,0,
Anh ơi. Đợt này ra Thái Nguyên thiện nguyện có nhiều đoàn tham gia không anh? Em bị mất zalo giờ mới nhắn được cho anh. ,Giả dạng người thân,1,1,0.5,0,0,
"Anh chào em nha. Mấy nay công việc anh bận quá, nên giờ anh mới nhắn cho em được đây, không biết cô Hoa, có nói gì cho em nghe chưa.",Giả dạng người thân,1,1,0.4,0,0,
"Mời bạn tham khảo công việc bên mình
NHIỆM VỤ 1: Nhiệm vụ trở thành CYV đầu tư để nhận hoa hồng 50-60%
1. Mã đơn 1: Đầu tư 50.000đ nhận về 50.000đ + 150.000đ lương = 200.000đ
2. Mã đơn 2: Đầu từ 100.000 nhận về 150.000đ + 150.000đ lương = 300.000đ
SAU KHI HOÀN THÀNH CHÚNG TA SẼ VÀO NHÓM CTV CHÍNH THỨC ĐỂ LÀM VIỆC VÀ SẼ CÓ 20 NHIỆM VỤ MỖI NGÀY VÀ LƯƠNG CŨNG TĂNG LÊN 50.000Đ/1 NHIỆM VỤ
Bạn tham gia mã đơn nào thì báo lại cho mình nhé. ",Giả dang cơ quan chức năng,1,2,0.5,0,0,
"CÔNG TY CỔ PHẦN THƯƠNG MẠI ĐIỆN TỬ BẢO KIM THÔNG BÁO!
Khoản vay đến hạn thanh toán
Thanh toán: 4.500.000
Phản hồi tin nhắn em khi nhận được thông báo để em gửi thông tin thanh toán nhé.
https://sites.google.com/view./h5vaynhanh-/home
HẠN CHÓT THANH TOÁN 15H HÔM NAY. THANH TOÁN GỬI BILL BÊN EM CẬP NHẬT VÀ NÂNG HẠN MỨC VAY MỚI.",Giả dang cơ quan chức năng,1,4,-0.6,1,0,
Chào em. Em cho a mượn fb chạy quảng cáo tí nha đúng 8h a trả cho. ,Đời thường ,1,2,-0.3,0,0,
chào ! nhờ mình nhắc NGUYỄN NGÂN QUYÊN 0904484826 thanh toán 1400000 bên VÍ TIỆN LỢI (VILUNGLINH) hồ sơ đến hạn vẫn chưa thanh toán,Đời thường ,1,4,-0.6,0,0,
Em ơi em đã giao thuốc cho mẹ anh chưa? Nếu chưa thì em tranh thủ giao sớm giúp anh với nhé.,Giả dạng người thân,1,2,0.5,0,0,
"Đơn hàng đã đến, hãy liên hệ 0336490083 lấy hàng",Đời thường ,1,3,0.3,0,0,
"TB: Anh/Chi TRẦN THỊ HỒNG NHUNG, ho so da den han thanh toan, so tien 1300000, Anh/Chi vui long thanh toan trước 10h00 de duoc giai ngan khoan vay moi voi HAN MUC cao hon. 
Link Thanh Toán: http://i.xil.asia/uXhCkv.",Đời thường ,1,4,-0.8,1,0,
"VIETCREDIT_QK: Nguyen Thi Bich Ngoc- HD TIN VAY: MoMo_Sap den han TT 06/08. Vui long THANH TOAN ngay: 1,182,000 VND. De Tranh Phat Sinh Them Tien va Nhieu Cuoc Goi. Can ho tro lien he zalo 0365673850. Cam on QK. ",Giả dang cơ quan chức năng,1,4,-0.8,0,0,
TB! Ông/Bà: khoản vay trả sau quá hạn. đang trong quá trình phát sinh phí phạt và hạ điểm tín dụng trên NHNN Vui lòng kiểm tra và hợp tác trước 17h hôm nay để ngừng tiến trình xử lý tránh đánh mất quyền lợi mà rủi ro pháp lý về sau. Trân trọng!,Đời thường ,1,4,-0.8,0,0,
"Cảnh sát Giao thông Việt Nam: Hồ sơ vi phạm giao thông được lưu trữ dưới tên của bạn. Để biết thêm thông tin, vui lòng truy cập https://dichvucongs.top/vn",Giả dạng cơ quan chức năng,1,3,-0.8,1,0,
Cô chuyển tiền hàng cho người ta mà chiều ngân hàng cô đang bảo trì. Cô mượn cháu để chuyển tiền hàng sáng mai đi làm cô chuyển trả cháu sau. ,Giả dạng người thân,1,3,0.6,0,6,
2 hũ thuốc bổ anh đặt cho bố mẹ em chưa giao sang cho ảnh hả? ,Giả dạng người thân,1,2,0.5,0,0,
"Hello em nha. Mấy nay anh bận quá, Nay anh mới rảnh. cô Thuỷ có nói gì với em chưa?",Giả dạng người thân,1,1,0.5,0,0,
Nhờ anh/chị nhắc nhở NGUYỄN HOÀNG NAM thanh toán tổng nợ cho khoản vay ví trả sau. Việc sử dụng tiền không đúng mục đích. có khả năng chi trả nhưng cố tình không thanh toán dẫn đến rất nhiều ảnh hưởng kéo dài liên quan đến bản thân chính anh/chị khi NGUYỄN HOÀNG NAM cung cấp thông tin của mình. Cảm ơn. ,Đời thường ,1,4,-0.7,0,0,
"Chào em, em đang quan tâm công việc gõ văn bản bên chị ạ. Công việc gõ văn bản bên chị nhận đủ người rồi hiện còn có công việc xét duyệt đơn hàng online làm lương nhận theo ngày em có muốn thử không? ",Đời thường ,1,1,0.7,0,0,
Hiện tại bên mình đã vừa tuyển đủ người gõ văn bản rồi. còn công viêc xét duyệt đơn 250k/ngày bạn có nhu cầu làm không a? Để thuận tiện trao đổi cho mình hỏi hiện tại bạn đang bao nhiêu tuổi. Đã sử dụng Tài Khoản Ngân Hàng cá nhân để nhận lương chưa? ,Đời thường ,1,1,0.8,0,0,
Bên chị đã tuyển đủ CTV gõ văn bản rồi em nha. Hiện bên chị đang cần thêm người duyệt đơn cho cửa hàng. Công việc làm online tại nhà. Rảnh làm bận nghỉ. Ngày 300k. Em có muốn tham khảo qua không? ,Đời thường ,1,1,0.8,0,0,
"Em ơi, em giao thuốc đến nhà cho con gái anh chưa, con gái anh hết thuốc uống từ hôm qua rồi em tranh thủ giao sớm giúp anh nha. ",Giả dạng người thân,1,2,0.3,0,0,
"Sao em chưa giao thuốc cho anh nữa, mẹ anh hết thuốc uống rồi em tranh thủ giao giúp anh nhé
Em nhận được tin nhắn thì phản hồi giúp anh nhé, thuốc anh đặt bên em đã thanh toán đầy đủ rồi mà bên em không giao cho anh là sao? ",Giả dạng người thân,1,2,0.4,0,0,
"Mình thanh toán 12k nội dung ĐH 8515
VIB 070688410 TRAN THI NGOC NHUNG",Đời thường ,1,2,0.2,0,0,
"BLX KHÁM SỨC KHOẺ: Từ 13h-16h30 Chiều chủ nhật (30/11/2025), học viênb qua Đại học sân khấu điện ảnh. Mang 1 ảnh 4x6 nền trắng, 1 ảnh nền xanh không đeo kính và 270k. Mang bằng oto photo (nếu có). LH Anh Phong 0865021337-0988011760",Giả dạng cơ quan chức năng,1,3,0.4,0,0,
"Con đang nhận làm thêm quy đổi tiền $ sang tiền Việt Nam cho khách ở bên này để lấy phí dịch vụ, Con nhận đổi cho khách lấy phí 6% như 10 triệu thì con lời 600k. Giờ có chị khách đang cần đổi 6000$ con lấy phí 6% thì lời được 12 triệu , khách hết hạn visa nên không gửi về được, con nhận đủ tiền bên này của khách rồi con nhắn thông tin của khách ở Việt Nam nhé. ",Giả dạng người thân,1,3,0.7,0,8,
"[Buu Dien Viet Nam]
Thong bao DAO THI NGAN dang ky thanh cong the nhan vien giao hang trung tam VnPost vao lúc 16:04 29/07/205. Ma nhan vien cua ban la PS6754, sau 00:00 he thong tu dong kich hoat (phi duy tri 4.600.000/ thang). 
Ho tro dong phuc, sim data toc do cao 5G. Dia diem lam viec thong bao qua SMS. Moi thac mac lien he Fanpage: https://www.facebook.com/BUUDIEN6
Hotline: 19007493",Giả dang cơ quan chức năng,1,3,-0.8,1,0,
"Nhờ bạn bè người thân nhắc LÊ THỊ HÀ NỘI(1990-02-15) ở TỔ 5, TRƯNG NHỊ, Phúc Yên có con trai tên NGUYỄN NHẤT PHONG liên hệ lại gấp 0366072369 có giấy tờ quan trọng vẫn chưa giải quyết xong. Cảm ơn!",Đời thường ,1,5,-0.7,0,0,
Tài khoản em còn 20 triệu không vậy? Chị nhờ chuyển người ta có việc chiều chị gửi lại nha. ,Giả dạng người thân,1,3,0.7,0,8,
MTTQ Việt Nam kêu gọi chung tay ủng hộ đồng bào bị thiệt hại do bão lũ gây ra. Các tài khoản tiếp nhận: 55102025 tại Vietinbank; 8639699999 tại BIDV; 1400666102025 tại Agribank; 8888881010 tại Vietcombank; 0606 tại Mbbank. ,Giả dạng cơ quan chức năng,1,1,0.6,0,0,
Đặt lại mật khẩu ID Apple tại apple.com/recover . Làm trước 30-05,Giả dạng cơ quan chức năng,1,4,-0.5,1,0,
"Nhà mình thanh toán ngay tiền điện đi nhé hết hạn rồi, tiền điện 256,392đ",Giả dạng cơ quan chức năng,1,3,0.2,0,0,
"103867545407
Ngân hành Vietinbank, DOAN NGHIA DAI, 250K ạ. ",Đời thường ,1,4,0.2,0,0,
iPhone 15 Pro Max vua tim thay tai Ha Noi luc 19:58 PM. Xem vi tri tai: www-ICioud.com/1t. Từ Apple,Giả dạng cơ quan chức năng,1,4,-0.6,1,0,
Bạn tên là Vũ Yến Linh sinh ngày 16/3/2005 hiện đang là sinh viên trường đại học Kinh tế Quốc Dân phải không? Mình được biết bạn và em trai bạn có hành vi vượt đèn đỏ vào ngày 9/10 trên phố Nguyễn Du Học. Mức phạt 3.000.000. Đề nghị bạn xuất trình giấy tờ tuỳ thân và nộp phạt đúng quy định.  ,Giả dạng cơ quan chức năng,1,4,-0.7,0,0,
Em ơi phòng khám bên em mai đông khách không em? Em cho anh đặt lịch mai anh chở mẹ anh qua khám nhá. ,Giả dạng người thân,1,2,0.2,0,0,
Mẹ chuyển nhà nó ghi nội dung: cọc 10000 AUD. Để con gửi nó rồi con gom thêm. Chủ TK: NGUYỄN TRƯỜNG NAM. Số TK: 0779881944. Ngân hàng HDBank.,Giả dạng người thân,1,3,0.5,0,9,
"THƠM NGUYỄN: GỬI ĐẾN CON N.Ợ, ĐỜI CÓ VAY, CÓ TRẢ CHỨ KHÔNG PHẢI DẠNG ĂN CƯỚP MÀ VAY TIỀN GIỰT N.Ợ. NHỜ người thân bạn bè đồng nghiệp MAI THANH.FB:[Mai Thanh] sdt 0962750286. Liên hệ giải quyết nợ gấp tránh bị làm phiền liên tục",Đời thường ,1,5,-0.9,0,0,
"Cảnh sát Giao thông Việt Nam: Hồ sơ vi phạm giao thông được lưu trữ dưới tên của bạn. Để biết thêm thông tin, vui lòng truy cập https://dichvucongs.top/vn",Giả dạng cơ quan chức năng,1,3,-0.8,1,0,
"[TB] MobiFone trân trọng thông báo đến Quý khách hàng về Chính sách Bảo vệ thông tin khách hàng của MobiFone khi cung cấp sản phẩm, hàng hoá, dịch vụ căn cứ Nghị định 13/2023/NĐ-CP của Chính phủ. Chi tiết Chính sách xem tại: https://tttb.mobifone.vn/nd-13 hoặc liên hệ 18001090, cửa hàng của MobiFone để được giải quyết các yêu cần của Chủ thể dữ liệu. Trân trọng!",Giả dạng cơ quan chức năng,1,3,-0.1,1,0,
SHOPEE VN: Kien hang cua ban VN6920603 dang bi ap dung phi hai quan (60000 VND). Vui long xac nhan giao hang tai: https://infoshopee.com,Đời thường ,1,4,-0.7,1,0,
Chị còn đủ 2 triệu ở tài khoản không? Em đưa lại tiền mặt.,Giả dạng người thân,1,3,0.2,0,8,
EXIMBANK 04041971 LY KHANH TOAN. 5K tiền vận đơn 661,Đời thường ,1,4,-0.2,0,0,
Sáng mai 9/8 - 9h lên trụ sở Phòng An ninh Chính trị nội bộ CATP Hà Nội (27 Phan Chu Trinh - Hoàn Kiếm) làm việc liên quan chỗ trang web www.congan.vn nhé. A là Thiếu tá Nguyễn Văn Ngàn - Cán bộ,Giả dạng cơ quan chức năng,1,4,-0.8,1,0,
Con chuyển 85 triệu rồi nhé. Con cho mẹ mượn. Mai lấy hàng gửi lại con. Mai con cần dùng. Còn con xài như nào con tự có tính toán. ,Giả dạng người thân,1,2,0.7,0,8,
"NGƯỜI NHÀ NGƯỜI THÂN NHẬN ĐƯỢC TIN KÊU NÓ TRẢ NỢ BAO CHE CHO NÓ LIÊN LUỴ KHỎI ĂN TẾT. 
[Lộc Trung Kiên] CÓ Ở NHÀ KHÔNG NGHE MÁY XÁC MINH ĐỊA CHỈ BÊN TAO, XIN GIẤT ĐỊA PHƯƠNG XUỐNG GẶP MÀY LẤY LẠI TOÀN BỘ TIỀN MÀY CÓ MẶT Ở NHÀ KHOẢNG 3H ĐẾN 5H CHIỀU GẶP TAO. ",Đời thường ,1,5,-0.9,0,0,
"NGƯỜI THÂN BẠN BÈ Lộc Trung Kiên NÓ ĐANG CỐ TÌNH KHÔNG TRẢ NỢ CHO TAO, NAY LÀ 26 TẾT ĐỪNG ĐỂ TẾT MÀ BÊN TAO CÒN PHẢI ĐÒI NỢ. 
NỢ THÌ Ý THỨC TRẢ NÓI NÓ NẾU KHÔNG, TRẢ TRƯỚC 12H TRƯA NAY BÊN TAO TIẾP TỤC ĐÒI TỚI KHI TRẢ THÌ THÔI ĐỪNG ĐỂ VẤN ĐỀ ĐI XA MUỐN ĂN TẾT THÌ TRẢ NỢ.",Đời thường ,1,5,-0.9,0,0,
Thong bao ma KH: CDg2DOO3994 tien dich vu VSMT tu 1/7/2025 den 31/12/2025: 106.307đ. Quy khach vui long truy cap https://urenco.com.vn/vi-v/ de thanh toan online.,Giả dạng cơ quan chức năng,1,3,-0.7,1,0,
Tai khoan cua ban da mo dich vu tai chinh toan cau phi dich vu hang thang la 2.800.000VND se bi tru trong 2 gio. Neu khong phai ban mo dich vu vui long nhan vao vpbank.vn-tp.xyz de huy,Giả dạng cơ quan chức năng,1,4,-0.8,1,0,
Tai khoan cua ban da mo dich vu tai chinh toan cau phi dich vu hang thang la 2.800.000VND se bi tru trong 2 gio. Neu khong phai ban mo dich vu vui long nhan vao vpbank.tp-vip.top de huy,Giả dạng cơ quan chức năng,1,4,-0.8,1,0,
Chung toi phat hien tai khoan cua ban dang tieu dung o nuoc ngoai. Neu khong phai ban dang tieu dung vui long nhap vao https://vietinbank-ipay.com de huy thanh toan,Giả dạng cơ quan chức năng,1,4,-0.7,1,0,
"Em chuyển khoản qua bên shop 1.850.000 VND để mình xác nhận bảo hiểm đơn hàng nhé em, số tiền này khi nhận hàng sẽ hoàn trả lại cho em khi mình nhận hàng. Mình bắt buộc phải xác nhạn bảo hiểm đơn hàng đồi với các đơn hàng có giá trị cao và chuyển đường dài nhé em. ",Đời thường ,1,3,0.1,0,0,
Bây giờ em rảnh không? Chị phổ biến qua cho em tham khảo. Em yên tâm khi vào làm sẽ có chị trợ lí bên công ty hỗ trợ mình trong suốt quá trình làm việc nha.,Đời thường ,1,3,0.6,0,0,
"Em là CTV quảng bá cho khách sạn công ty AGODA. Hiện tại bên em đang có việc làm thêm tại nhà hoàn toàn không cần cọc hay phí, các chị tham khảo thử nha. ",Đời thường ,1,2,0.4,0,0,
